"This sheet is automatically generated; do not edit manually. Use tstk metadata to export a CSV of the recorded traces. copy+paste into this spreadsheet, then use the ""split text to columns"" option in the paste icon. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
total,21:10:12,,quality check,odom check,trace,user,location,type,motion,duration,notes,errata,,
,,,v,,2026-05-20-18-27-02,nicholas,smith hall/courtyard,mixed,forward,245.48,Did not start and stop data collection with sensor stationary,,,
,,,v,,2026-05-21-14-27-00,stephanie,doherty.a,indoor,forward,322.14,,,,
,,,v,,2026-05-21-14-33-36,stephanie,doherty.a,indoor,lateral,327.92,,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,,
,,,v,,2026-05-21-14-50-18,stephanie,doherty.a,indoor,backward,281.4,,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,"tsx-rgb.out   WARNING  sync          sequence count mismatch: 1 in t, 2"
,,,v,,2026-05-21-22-00-23,ray,thecut,night,forward,654.56,"night time recording, ",no gps,,
,,,v,,2026-05-22-14-42-57,bill,cuc.a,indoor,forward,711.06,,,,
,,,v,,2026-05-22-14-56-35,bill,cuc.a,indoor,lateral,577.45,,,,
,,,v,,2026-05-23-14-23-04,ayaan,scaife.1-stairs,indoor,forward,380.69,,"tsx-evtl.out  WARNING  sync          sequence count mismatch: 1 in t, 2","tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2",
,,,v,,2026-05-23-14-33-36,ayaan,scaife.1-stairs,indoor,lateral,338.41,,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,
,,,v,,2026-05-23-14-42-18,ayaan,scaife.1-stairs-4,indoor,backward,406.58,,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,,
,,,v,,2026-05-23-19-17-48,nicholas,tcs.1-2,indoor,forward,152.31,,,,
,,,v,,2026-05-23-19-24-17,nicholas,tcs.1-2,indoor,forward,217.54,,,,
,,,v,,2026-05-23-19-30-19,nicholas,tcs.1-2,indoor,backward,234.44,,,,
,,,v,,2026-05-23-19-43-53,nicholas,tcs.1-2,indoor,lateral,204.6,,,,
,,,v,,2026-05-23-19-55-43,nicholas,tcs.3-4,indoor,forward,290.4,,,,
,,,v,,2026-05-23-20-01-22,nicholas,tcs.3-4,indoor,backward,301.49,,,,
,,,v,,2026-05-23-20-14-08,nicholas,tcs.3-4,indoor,lateral,267.51,,,,
,,,v,,2026-05-24-13-01-48,ray,campus.east,outdoor,forward,1015.4,,no gps,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger
,,,v,,2026-05-24-19-14-51,jihwan,tepper.1-3,indoor,lateral,815.37,,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,,
,,,v,,2026-05-24-19-30-27,jihwan,tepper.1-3,indoor,backward,830.29,,,,
,,,v,,2026-05-24-19-48-22,jihwan,tepper.4,indoor,lateral,205.95,,,,
,,,v,,2026-05-24-20-00-56,jihwan,tepper.4,indoor,backward,193.61,,,,
,,,v,,2026-05-24-20-06-15,jihwan,tepper.5,indoor,lateral,245.26,,,,
,,,v,,2026-05-24-20-11-36,jihwan,tepper.5,indoor,backward,197.73,,,,
,,,v,,2026-05-25-11-50-41,jihwan,craig,outdoor,forward,890.91,,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,
,,,v,,2026-05-25-12-08-27,jihwan,forbes,outdoor,forward,310.03,did not start and end at the same spot,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,
,,,v,,2026-05-25-12-20-25,jihwan,highmark,indoor,forward,454.25,,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,"tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2",
,,,v,,2026-05-25-12-30-14,jihwan,campus.highmark-ghc,outdoor,forward,266.13,did not start and end at the same spot,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,
,,,v,,2026-05-25-12-38-31,jihwan,ghc.9,indoor,forward,207.63,,,,
,,,v,,2026-05-25-12-42-55,jihwan,ghc.9,indoor,lateral,205.47,,,,
,,,v,,2026-05-25-12-49-35,jihwan,ghc.9,indoor,backward,225.96,,,,
,,,v,,2026-05-25-13-49-48,wasmir,doherty.a1,indoor,forward,333.55,,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,,
,,,v,,2026-05-25-13-57-50,wasmir,doherty.a1,indoor,backward,404.13,,,,
,,,v,,2026-05-25-14-16-14,wasmir,doherty.a1,indoor,lateral,417.9,,,,
,,,v,,2026-05-25-14-58-32,bill,track,outdoor,forward,392.85,,tsx-evtl.out  WARNING  sync          tick span mismatch between trigger,tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,
,,,v,,2026-05-25-15-24-51,bill,track.bleacher,outdoor,forward,152.95,,"tsx-evtl.out  WARNING  sync          sequence count mismatch: 1 in t, 2",tsx-evtr.out  WARNING  sync          tick span mismatch between trigger,lidar drop
,,,v,,2026-05-25-15-38-57,bill,garage.1-4,mixed,forward,1616.41,,"tsx-evtr.out  WARNING  sync          sequence count mismatch: 1 in t, 2",,
,,,v,,2026-05-25-16-14-42,bill,cuc.1,indoor,forward,494.67,,,,
